s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
23103	6	6	7	6	1	0.384	0.384	97	30	134	145	523	523	16736	454	69	73	134	192	128	648	11719	76	0	69	73	4	20	0.020
23199	6	6	6	0	1	0.088	0.088	8	3	15	16	69	69	2208	68	1	1	23	11	34	27	4803	4	2	1	1	1	2	0.001
23390	4	4	8	4	1	0.273	0.273	29	14	29	20	359	359	11488	341	18	19	95	97	149	168	10887	10	0	18	19	3	5	0.006
23412	6	6	3	0	1	0.036	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
23542	6	6	2	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
23580	4	0	145	4	1	0.144	0.144	21	12	21	10	292	292	9344	286	6	130	73	9	204	20	916	4	0	6	130	0	0	0.026
23581	4	0	140	4	1	0.153	0.154	21	12	21	10	289	289	9248	284	5	93	75	15	194	20	960	4	0	5	93	0	0	0.019
23582	4	0	141	4	1	0.135	0.135	21	12	21	10	297	297	9504	292	5	93	78	15	199	20	908	4	0	5	93	0	0	0.019
23583	6	0	133	6	1	0.168	0.168	21	12	42	20	349	349	11168	345	4	83	105	27	213	20	2064	8	0	4	83	1	5	0.018
23589	4	4	18	4	1	0.295	0.295	29	12	29	26	694	694	22208	674	20	38	172	211	291	560	3752	12	0	20	38	2	5	0.009
23617	2	2	7	0	1	0.100	0.100	31	19	31	38	96	96	3072	90	6	6	26	38	26	115	4620	10	0	6	6	0	0	0.001
23826	2	0	8	2	1	0.155	0.155	21	12	21	10	358	358	11456	344	14	16	98	53	193	20	1624	4	0	14	16	3	9	0.005
