s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
49130	2	0	167	2	1	0.162	0.161	21	12	400	400	12800	390	10	51	85	23	282	20	1084	4	0	10	51	0	0	0.010
49156	2	0	130	2	1	0.217	0.217	25	13	489	489	15648	475	14	60	112	53	310	316	2101	7	0	14	60	2	28	0.017
49157	6	0	133	6	1	0.288	0.289	29	13	538	538	17216	521	17	75	135	69	317	572	5179	18	0	17	75	1	1	0.016
49166	2	0	165	2	1	0.180	0.181	25	13	376	376	12032	364	12	69	87	28	249	272	1962	7	0	12	69	0	0	0.014
49181	6	0	131	6	1	0.214	0.215	25	13	421	421	13472	409	12	44	93	31	285	272	3368	11	0	12	44	1	1	0.009
49208	6	0	131	6	1	0.211	0.210	25	13	416	416	13312	404	12	52	91	31	282	272	3258	11	0	12	52	1	1	0.011
49239	4	0	142	4	1	0.200	0.200	25	12	415	415	13280	402	13	44	88	35	279	268	2308	8	0	13	44	2	28	0.014
49530	4	0	97	4	1	0.275	0.275	25	12	319	319	10208	301	18	57	42	8	251	344	8446	8	0	18	57	0	0	0.012
49719	6	6	5	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
49918	6	6	5	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
50504	6	6	24	0	1	7.367	1.366	63	15	1278	1278	40896	1193	85	99	300	544	349	1349	63957	55	0	85	99	5	6	0.025
50539	6	6	9	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
50549	6	6	11	0	1	1.150	1.150	40	5	1151	1151	36832	1052	99	101	266	595	191	1255	52085	46	0	99	101	5	8	0.025
50732	6	6	18	6	1	0.518	0.518	41	13	849	849	27168	803	46	68	258	260	285	684	12123	43	0	46	68	7	30	0.021
